N ,FRDM,relativistic continuum Hartreeâ€“Bogoliubov theory ,exp
155,1916.58,,
156,1926.23,,
157,1934.24,1919.91,
158,1943.67,1929.57,
159,1951.52,1937.25,
160,1960.74,1946.83,
161,1968.37,1954.36,
162,1977.3,1963.85,
163,1984.59,1971.11,
164,1993.83,1980.5,
165,2000.77,1987.94,
166,2009.21,1996.4,
167,2015.85,2003.69,
168,2023.88,2011.87,
169,2030.13,2019.05,
170,2037.98,2027.07,2034.292
171,2044.36,2034.13,2040.315
172,2051.93,2042.01,2047.474
173,2058.11,2048.28,2053.485
174,2065.62,2055.37,2060.352
175,2071.58,2061.44,2066.061
176,2078.82,2068.32,2072.63
177,2084.47,2074.21,2078.031
178,2091.52,2080.98,
179,2096.9,2086.79,
180,2103.36,2093.35,
181,2108.51,2099.08,
182,2114.66,2105.41,
183,2119.43,2111.13,
184,2125.19,2116.96,
185,2128.8,2120.68,
186,2134.23,2125.63,
187,2137.39,2129.34,
188,2142.65,2134.26,
189,2145.78,2137.95,
190,2150.87,2142.86,
191,2153.98,2146.54,
192,2158.94,2151.44,
193,2162.11,2155.1,
194,2167.25,2159.99,
195,2170.72,2163.62,
196,2175.67,2168.48,
197,2182.37,2172.01,
198,2187.33,2176.81,
199,2188.59,2179.76,
200,2193.52,2184.21,
201,2197.06,2187.06,
202,2201.73,2191.32,
203,2204.8,2194.09,
204,2209.04,2198.27,
205,2211.93,2200.98,
206,2215.97,2205.1,
207,2218.77,2207.76,
208,2222.77,2211.84,
209,2225.5,2214.43,
210,2229.37,2218.49,
211,2232.06,2221,
212,2235.91,2225.05,
213,2238.46,2227.49,
214,2242.15,2231.54,
215,2244.55,2233.9,
216,2248.23,2237.95,
217,2250.52,2240.3,
218,2253.98,2244.29,
219,2256.07,2246.62,
220,2259.52,2250.56,
221,2261.7,2252.86,
222,2265.16,2256.75,
223,2267.59,2259.01,
224,2271.24,2262.86,
225,2273.53,2265.05,
226,,2268.88,
227,,2271.09,
228,,2274.78,
229,,2277.06,
230,,2280.54,
231,,2282.84,
232,,2286.17,
233,,2288.46,
234,,2291.69,
235,,2293.94,
236,,2297.1,
237,,2299.24,
238,,2302.34,
239,,2304.34,
240,,2307.19,
241,,2309.12,
242,,2311.81,
243,,2313.68,
244,,2316.32,
245,,2318.11,
246,,2320.73,
247,,2322.52,
248,,2325.04,
249,,2326.82,
250,,2329.24,
251,,2330.96,
252,,2333.33,
253,,2335.05,
254,,2337.24,
255,,2338.92,
256,,2340.97,
257,,2342.69,
258,,2344.51,
259,,2343.87,
260,,2344.22,
